№,Секунда,Микросекунда
1,21,275244
2,21,285658
3,21,296626
4,21,307353
5,21,317687
6,21,328679
7,21,339654
8,21,350617
9,21,361551
10,21,372556
11,21,383530
12,21,394461
13,21,404951
14,21,415914
15,21,426906
16,21,437907
17,21,448453
18,21,459457
19,21,469907
20,21,480872
21,21,491849
22,21,502841
23,21,513881
24,21,524137
25,21,534268
26,21,544408
27,21,554739
28,21,565303
29,21,575472
30,21,586423
31,21,596611
32,21,607752
33,21,618688
34,21,629686
35,21,640662
36,21,651638
37,21,662606
38,21,673613
39,21,684574
40,21,695493
41,21,705984
42,21,716948
43,21,727921
44,21,738891
45,21,749864
46,21,760870
47,21,771853
48,21,782846
49,21,793812
50,21,804781
51,21,815299
52,21,826262
53,21,837196
54,21,847729
55,21,858662
56,21,869633
57,21,880665
58,21,891671
59,21,901877
60,21,912029
61,21,922584
62,21,932925
63,21,943097
64,21,953510
65,21,963707
66,21,973932
67,21,984181
68,21,994367
69,22,4612
70,22,15588
71,22,26577
72,22,37482
73,22,48518
74,22,59492
75,22,70439
76,22,81370
77,22,92340
78,22,103315
79,22,114286
80,22,125255
81,22,136232
82,22,147693
83,22,158736
84,22,169664
85,22,180632
86,22,191644
87,22,202618
88,22,213591
89,22,224619
90,22,235090
91,22,245419
92,22,255547
93,22,265849
94,22,276918
95,22,287160
96,22,297323
97,22,307840
98,22,318277
99,22,329334
100,22,340449
101,22,350872
102,22,361294
103,22,371708
104,22,382016
105,22,392360
106,22,402699
107,22,413707
108,22,424678
109,22,435161
110,22,446157
111,22,457102
112,22,467573
113,22,478043
114,22,489030
115,22,500001
116,22,510972
117,22,521949
118,22,532918
119,22,543890
120,22,554861
121,22,565858
122,22,576864
123,22,587762
124,22,598241
125,22,609228
126,22,620217
127,22,631126
128,22,642109
129,22,653055
130,22,664019
131,22,675012
132,22,686018
133,22,696496
134,22,707664
135,22,718660
136,22,729636
137,22,740606
138,22,751552
139,22,762518
140,22,772959
141,22,783950
142,22,794945
143,22,805408
144,22,816396
145,22,827267
146,22,837767
147,22,848200
148,22,859172
149,22,870143
150,22,880648
151,22,891596
152,22,902567
153,22,913553
154,22,924515
155,22,935509
156,22,945966
157,22,956528
158,22,967411
159,22,977507
160,22,988483
161,22,999450
162,23,10420
163,23,21390
164,23,32364
165,23,43370
166,23,54302
167,23,65277
168,23,76239
169,23,86806
170,23,97774
171,23,108248
172,23,119226
173,23,130202
174,23,141197
175,23,152162
176,23,163138
177,23,174106
178,23,185050
179,23,196058
180,23,207019
181,23,218020
182,23,228992
183,23,239937
184,23,250904
185,23,261842
186,23,272881
187,23,283840
188,23,294821
189,23,305795
190,23,316799
191,23,327671
192,23,338666
193,23,349602
194,23,360586
195,23,371547
196,23,382089
197,23,393082
198,23,404030
199,23,414998
200,23,425980
201,23,436969
202,23,447945
203,23,458934
204,23,469913
205,23,480858
206,23,491858
207,23,502785
208,23,513771
209,23,524740
210,23,535242
211,23,546268
212,23,557714
213,23,568708
214,23,579250
215,23,590194
216,23,601203
217,23,612166
218,23,623132
219,23,634104
220,23,645074
221,23,655984
222,23,666992
223,23,677524
224,23,687756
225,23,698756
226,23,709727
227,23,720699
228,23,731673
229,23,742634
230,23,753579
231,23,764577
232,23,775082
233,23,785433
234,23,796041
235,23,807006
236,23,817541
237,23,827829
238,23,838185
239,23,848594
240,23,858934
241,23,869144
242,23,879328
243,23,890456
244,23,900634
245,23,910856
246,23,920982
247,23,931385
248,23,942353
249,23,953264
250,23,964246
251,23,975204
252,23,985922
253,23,996919
254,24,7415
255,24,18396
256,24,29360
257,24,40324
258,24,51299
259,24,62267
260,24,73236
261,24,84212
262,24,95187
263,24,106151
264,24,117127
265,24,128091
266,24,139060
267,24,150035
268,24,161002
269,24,172009
270,24,182945
271,24,193918
272,24,204893
273,24,215867
274,24,226440
275,24,237427
276,24,248399
277,24,259372
278,24,270353
279,24,281340
280,24,292292
281,24,303257
282,24,314229
283,24,325202
284,24,336003
285,24,346044
286,24,356757
287,24,367026
288,24,377484
289,24,388496
290,24,399531
291,24,410592
292,24,421635
293,24,431930
294,24,442015
295,24,452522
296,24,462812
297,24,472953
298,24,483146
299,24,494153
300,24,505153
